Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time
Infinity,2.674,Infinity,0.629,516.9471868002825,0.587,Infinity,2.634,Infinity,0.711,Infinity,0.735,525.1691522700239,0.578,516.6926050688713,0.725,Infinity,2.946,Infinity,2.75,Infinity,0.901,540.2715778593185,0.775,528.7045584413279,0.644,496.58329062777347,1.185,524.9846876994545,0.557,Infinity,1.401,496.54071244241544,0.85,511.39033693961727,0.621,513.259568701606,2.94,533.6638915071998,2.839,Infinity,2.698,Infinity,2.655,492.5696139418292,0.672,Infinity,2.658,516.1027502725926,0.78,Infinity,2.82,Infinity,2.601,Infinity,2.745,506.75324477034616,1.417,508.9729399497082,0.537,Infinity,2.66,Infinity,2.925,Infinity,0.784,466.34216980693236,2.295,Infinity,2.776,Infinity,2.677,Infinity,2.726,513.2105850293016,0.65,Infinity,0.972,Infinity,0.763,501.46820138095364,0.689,507.20455995181163,2.758,Infinity,1.42,507.60407207876494,2.852,538.5518990228319,2.88,Infinity,2.733,505.1443446919232,0.902,509.58346566965747,1.211,Infinity,1.108,531.5844740855325,0.765,Infinity,2.715,485.1409313065323,0.633,510.98015543258873,2.778,524.5765723823861,0.627,Infinity,2.713,Infinity,2.689,Infinity,0.686,Infinity,2.643,484.7393705103994,0.707,Infinity,0.871,509.1268901536863,0.622,Infinity,2.71,Infinity,0.821,Infinity,0.608,Infinity,0.87,484.10532945430197,2.671,Infinity,0.861,525.1982012102928,0.706,517.4873900625108,0.813,520.292388867649,2.688,Infinity,0.976,Infinity,2.774,502.28488972189166,1.013,530.7071555397937,1.123,Infinity,2.664,Infinity,2.699,Infinity,2.719,506.74510348187323,0.731,500.1056500814389,0.58,492.2428994521884,2.885,515.5344277195279,0.582,Infinity,2.637,Infinity,0.633,Infinity,2.594,Infinity,0.938,Infinity,0.591,498.833200914991,0.748,507.01949695840204,1.418,Infinity,0.769,Infinity,2.798,Infinity,0.562,Infinity,2.687,487.8334033323963,2.38,Infinity,1.509,509.2786095492323,0.766,517.7508917611384,2.728,489.45099007348625,0.608,484.293499083599,0.833,500.2334083538719,0.686,498.51018776645793,2.783
Infinity,2.861,Infinity,0.65,519.4906755666323,0.543,Infinity,2.657,Infinity,1.125,522.8535492712508,0.739,527.8676099506355,0.636,520.4411546558832,0.654,Infinity,2.751,Infinity,2.585,Infinity,2.671,543.1456174253904,1.182,531.0533215089266,2.697,499.8764048925701,1.23,527.2558040219748,0.727,Infinity,0.731,498.58384845640063,0.816,Infinity,0.635,516.0485043616125,2.671,535.53683542029,2.812,Infinity,2.75,Infinity,2.714,495.5455920865324,0.714,474.1065582138398,0.787,518.9392619407175,0.767,Infinity,2.688,Infinity,2.981,Infinity,2.786,509.29560806438667,1.293,511.79817554406196,0.602,535.2673230074918,2.595,497.87436177748134,2.626,503.68834495584525,0.819,Infinity,2.771,Infinity,2.924,500.43782307981996,2.754,517.8316142594527,2.579,Infinity,2.168,552.4531801561986,0.704,Infinity,0.679,504.8061586107527,1.325,509.1086445303328,2.704,505.7466260634136,2.7,511.3958526944921,2.705,Infinity,2.738,Infinity,2.733,507.68378491426256,0.899,511.44834995489214,0.849,500.87609444191594,0.82,Infinity,0.868,Infinity,2.646,488.70522734454175,0.806,Infinity,2.8,527.0284182074472,0.749,488.7355803678566,0.687,541.4791306617765,0.691,Infinity,0.634,Infinity,0.573,489.27787845645884,0.707,531.4533507869259,0.723,Infinity,0.577,504.3778156594393,0.669,Infinity,0.836,Infinity,0.677,464.3176938361429,0.827,486.2515435269834,2.701,Infinity,2.715,Infinity,0.842,Infinity,0.731,Infinity,2.617,Infinity,2.698,569.68226231392,1.597,504.3960727255184,0.848,533.0993722516411,1.337,Infinity,2.658,514.0369449788158,2.751,Infinity,0.711,508.5131034818736,0.708,503.6702562707728,0.967,495.9152206569927,2.667,518.3129188122784,0.754,Infinity,2.722,530.6767852886898,0.637,Infinity,2.694,523.509890417061,0.659,497.5796096540051,0.594,501.1324547474141,0.803,Infinity,2.833,Infinity,0.652,Infinity,2.835,Infinity,0.603,538.3147421219151,2.738,490.73405413001757,2.391,485.98975220657246,1.366,512.5036474090446,0.747,Infinity,2.757,491.6225936534031,0.606,Infinity,1.212,Infinity,2.737,Infinity,2.722
539.8132495346025,2.681,492.5756924938384,0.718,Infinity,0.722,Infinity,2.663,Infinity,1.196,526.3052315910317,1.104,530.6757997086809,0.587,525.0839969338241,0.944,505.7931388409445,0.694,525.1642213158078,0.727,541.757009790787,2.749,545.3898353476612,1.103,533.864171929888,2.628,502.7888787907418,0.842,Infinity,0.66,Infinity,0.76,501.1214433637501,1.159,517.6872824854412,0.614,519.1642102896253,2.781,538.6617112878395,2.793,525.6293140208498,0.897,Infinity,2.834,499.354273455694,0.686,477.3830387290511,0.75,Infinity,2.8,Infinity,2.651,Infinity,2.808,523.2424955182079,2.708,Infinity,0.819,515.119890822795,0.782,537.8213552988095,2.714,Infinity,2.735,Infinity,1.109,Infinity,0.836,482.1626053734998,0.913,502.54993477710207,2.827,Infinity,2.649,Infinity,2.112,Infinity,0.708,507.0871817390542,0.734,Infinity,2.739,512.2025562766345,2.739,Infinity,2.862,Infinity,2.678,Infinity,2.696,501.4820838231475,0.675,509.88383366789253,0.715,513.7319131346602,0.913,Infinity,2.871,537.3506812758211,1.139,Infinity,2.723,491.291018139216,0.98,Infinity,2.692,Infinity,2.741,Infinity,2.613,Infinity,0.869,Infinity,0.722,Infinity,0.664,Infinity,0.808,535.8916840373531,0.789,513.3329062824213,0.577,Infinity,0.662,518.8992856780412,0.644,515.2973400935335,0.664,467.895674466603,0.905,489.21857030262476,2.671,Infinity,2.886,Infinity,0.849,523.381747470906,0.898,524.7793717685622,2.704,Infinity,2.793,574.6536417455453,2.832,506.33164641715234,0.867,536.6696535702566,1.237,Infinity,2.706,517.4512706613643,2.942,520.8637571017739,0.842,513.3991592319768,2.236,505.7776789421742,0.799,498.2849709143026,2.766,Infinity,0.622,Infinity,2.7,533.2973077566805,0.659,479.5062569837535,2.79,Infinity,0.631,500.10735331455766,0.592,503.31221724153386,0.809,511.94162318911015,0.853,Infinity,0.679,Infinity,2.807,Infinity,2.747,Infinity,2.698,492.97614098863653,2.27,Infinity,0.654,515.210339226867,0.856,522.9861733513097,2.714,493.5002693465337,0.629,489.21239465892205,0.784,Infinity,2.653,Infinity,2.616
Infinity,2.763,Infinity,0.656,526.158103394115,0.769,Infinity,2.837,Infinity,0.725,528.5626862231222,0.651,533.0396816324703,0.632,Infinity,2.699,Infinity,2.936,527.4648884698239,2.652,Infinity,2.672,550.0830624899404,1.199,536.5262388964908,2.83,505.9963880000019,0.839,Infinity,0.764,490.94844307054774,0.939,Infinity,2.754,521.7233354464057,0.74,524.2063784559394,2.731,541.555588698303,3.044,Infinity,2.93,Infinity,2.674,502.46999397057476,0.728,480.3818487277441,0.78,Infinity,2.762,Infinity,2.748,Infinity,2.69,526.8248049409635,2.596,514.9958659315175,0.911,517.8558803726006,0.7,Infinity,2.787,505.2835599010458,2.653,511.1000911941111,0.854,Infinity,0.656,Infinity,2.706,504.3621102286084,2.918,Infinity,2.737,520.5056228725645,2.21,Infinity,2.69,Infinity,0.894,511.0755368218749,1.869,514.7817899606172,2.855,511.4705527578968,2.803,517.8919136050422,2.697,549.230645003213,2.781,504.79244269945315,0.644,511.95685966164046,0.684,516.3510042474584,1.06,506.2164332804963,2.697,Infinity,0.708,526.1896487547399,2.762,493.49004490028005,1.333,521.0465410888849,2.81,532.2131297550045,0.918,Infinity,0.76,548.385976864957,0.788,Infinity,0.838,Infinity,1.091,Infinity,2.844,Infinity,2.683,516.5141980031883,0.577,Infinity,0.641,Infinity,2.965,517.3204404430998,0.669,469.89699171384245,0.736,Infinity,2.843,Infinity,2.84,Infinity,2.657,526.9811156604128,0.936,528.0250834211338,2.717,527.539803601996,0.696,Infinity,2.748,Infinity,2.717,540.4252226168521,1.448,496.49430757168034,0.935,520.476260326766,2.819,Infinity,2.673,515.9839541069157,2.257,Infinity,0.857,501.3724321987708,2.698,525.4857495134772,0.731,Infinity,2.961,536.1187834246512,0.855,482.73141880251285,2.636,Infinity,2.7,Infinity,0.766,506.6093563633842,2.824,Infinity,2.79,Infinity,0.726,503.53674364309694,0.887,Infinity,2.8,Infinity,2.837,495.9254510043964,1.717,492.28413942248244,0.718,Infinity,3.117,527.0957481708873,2.798,495.2488145847279,0.568,492.77891866159445,1.084,Infinity,2.665,Infinity,2.967
545.930038097449,2.737,499.1740748941722,0.587,Infinity,1.05,503.2722592319192,0.797,509.41553039533164,2.313,532.1022767084781,0.69,Infinity,2.829,Infinity,2.651,511.85821753369476,2.783,530.3059348656316,1.054,546.393132724056,2.664,553.2470979353018,1.147,541.4228107359586,2.906,509.2249641100612,0.756,534.1351951704395,0.915,493.4524953207311,0.807,Infinity,2.745,525.11068493107,0.769,Infinity,2.67,543.4688672639248,2.662,Infinity,2.732,Infinity,2.792,Infinity,2.699,483.19077320633465,0.819,526.5985323269989,0.88,489.2956630664124,2.669,Infinity,2.711,529.071820373057,2.872,Infinity,0.731,520.1948657091957,0.818,Infinity,2.641,508.2206878406673,2.647,513.9988996721796,1.038,Infinity,0.673,489.0572040400702,1.444,507.81536562151393,2.669,Infinity,2.935,Infinity,2.508,Infinity,2.893,511.7580555263535,0.712,513.7998551003939,1.058,520.4210938701618,2.73,Infinity,2.691,Infinity,2.775,551.8162790561034,2.67,506.95546934971935,0.677,514.8410056793733,0.728,Infinity,2.872,Infinity,2.64,543.686971949566,1.389,528.547142997242,2.668,495.60986141427924,1.055,523.5215473718811,2.729,534.8412335732952,0.782,Infinity,2.773,551.8268557030848,1.871,542.6860365270107,0.929,Infinity,1.155,Infinity,2.856,Infinity,2.855,518.9589229044554,0.634,Infinity,2.603,Infinity,2.836,520.3380908686676,0.682,473.762905690781,0.727,Infinity,2.822,Infinity,2.737,Infinity,2.726,530.6923281604587,1.804,531.1580511737012,2.666,529.8404551534042,0.763,578.7278156493591,2.797,510.74326636960274,0.707,Infinity,2.622,Infinity,0.769,524.0779756397253,2.862,Infinity,2.728,Infinity,2.731,510.17242787885453,0.642,503.3610966221919,2.797,Infinity,2.678,Infinity,2.78,538.2586548552414,0.82,485.5480150154842,0.934,533.7383786589611,0.788,505.6341198228977,0.859,508.9098281120241,2.621,Infinity,1.111,Infinity,0.702,506.1109281551881,0.808,Infinity,2.797,548.0466466598577,2.643,498.3909981996973,1.756,495.09102810767996,0.784,Infinity,2.769,530.4893269599088,2.634,Infinity,2.736,Infinity,1.009,Infinity,2.813,Infinity,2.738
548.6339263811757,2.733,Infinity,0.723,532.4554135912617,2.682,506.3422228133016,0.895,512.1786555451658,0.953,536.7131329907254,0.8,540.6018752323743,0.714,Infinity,2.907,Infinity,2.787,532.5527777609028,0.947,549.9645200285031,2.735,556.3125347560851,1.094,Infinity,2.912,Infinity,2.71,536.7868688994815,1.025,495.86448481232026,0.836,511.0244942882005,2.738,528.2737603173749,0.915,Infinity,2.701,547.4961813375525,2.781,Infinity,2.674,505.01924135044084,1.012,Infinity,2.665,486.7119371900023,2.698,529.018143851514,2.691,491.21109105965826,2.838,Infinity,2.693,531.4278048085196,2.741,Infinity,0.727,Infinity,2.603,546.3186242736763,2.713,512.0680835141337,2.761,Infinity,2.695,Infinity,2.677,Infinity,2.871,510.0997432661209,2.598,532.7249754222352,2.78,527.7065743642673,2.53,Infinity,2.699,Infinity,2.754,516.1959546500997,2.77,524.2857103217741,2.753,Infinity,2.832,522.6982518408132,2.726,555.8810374310195,3.028,509.68679248318216,0.777,517.4721961620319,0.871,521.7082309196513,2.816,513.2266534002482,2.712,Infinity,2.663,530.360142997242,2.703,498.03360849298747,0.723,Infinity,2.686,537.5147896446964,0.762,Infinity,2.689,554.0903124742499,1.406,Infinity,0.856,Infinity,0.716,Infinity,2.653,Infinity,1.963,521.2436186292125,0.663,516.6770043018511,0.724,Infinity,2.742,Infinity,0.612,Infinity,2.753,497.13553640426136,2.705,Infinity,0.946,Infinity,2.773,533.9340723320153,2.474,533.0924836890268,2.851,535.4081662782019,0.878,582.2232356780942,2.177,512.7744976497829,0.773,545.5975586760751,1.777,502.83402752287975,0.84,Infinity,2.695,Infinity,0.795,Infinity,2.988,Infinity,0.74,506.59154620904013,2.861,532.0943786926813,2.705,529.440870030801,1.233,Infinity,0.786,Infinity,2.681,537.2084521655466,0.844,508.1915040554815,0.684,513.1535758020364,2.663,Infinity,0.76,529.0545111143989,0.54,508.90136876355945,0.789,Infinity,2.647,Infinity,2.796,500.342249505111,1.593,Infinity,2.711,Infinity,2.896,534.0235115297199,2.609,502.3278919089568,0.704,496.93240190469146,0.866,514.1065629830752,2.863,512.8596871406301,2.766
Infinity,2.757,Infinity,0.929,535.295139468003,2.666,509.29766596467414,0.728,514.9152175253843,1.046,Infinity,2.796,Infinity,2.635,535.4431224681591,1.777,Infinity,2.856,535.7934310541473,0.84,Infinity,2.714,560.984673769173,2.664,547.6588856255973,2.752,Infinity,2.651,540.6256591941136,0.907,498.56824990042264,1.025,Infinity,2.673,530.3189300699515,0.792,Infinity,2.737,550.8172697173089,2.678,535.8946080669593,2.671,507.29425414710335,1.628,510.51498192954585,0.8,Infinity,1.481,533.5873403535514,2.805,Infinity,2.718,Infinity,2.725,534.9210750698147,2.75,Infinity,0.768,Infinity,2.928,549.5190662740664,2.784,514.3425317673641,2.765,Infinity,0.857,Infinity,2.78,492.7342752650571,1.004,513.3988353460499,2.783,Infinity,2.691,Infinity,0.702,Infinity,2.687,Infinity,2.874,518.300535004774,2.714,Infinity,2.648,519.7333634141709,2.896,Infinity,2.685,560.7340503468008,2.85,513.5360664830682,2.651,520.1684426507177,0.874,524.0484047251866,2.637,514.9823372472098,2.732,Infinity,2.675,532.7409466321174,2.637,502.20247485173337,1.103,Infinity,2.914,Infinity,2.74,Infinity,2.649,556.5066465057378,0.835,Infinity,2.786,Infinity,1.519,Infinity,2.692,547.8839523347121,2.155,523.5492970749542,0.712,519.8326114796803,0.891,530.8410770621757,2.775,Infinity,0.897,481.5281585890616,0.882,499.6630611191054,2.836,Infinity,2.805,Infinity,2.79,537.5791929547812,2.624,536.5363568867438,2.749,537.2385466051753,0.949,Infinity,2.762,516.9550030770264,0.735,549.6417423557411,2.122,505.67515736379784,0.881,530.9672055936061,2.715,536.3608393403302,2.669,Infinity,2.708,Infinity,0.74,509.6290707772884,2.707,534.9457952273051,2.744,531.9132721366935,0.919,Infinity,0.719,492.42634168557356,1.489,539.688556748561,0.834,Infinity,2.828,518.0695993202772,2.766,524.7149221511129,0.846,Infinity,0.809,512.6638459218625,0.813,Infinity,2.706,553.853306242251,2.673,503.2363531858889,2.073,Infinity,2.745,Infinity,2.645,535.9565770782307,2.726,509.0761164571988,0.692,500.6864344426083,0.852,516.8028418147154,0.819,517.1871238620624,2.672
Infinity,2.908,Infinity,2.679,537.9017563056983,2.769,512.5535701074633,0.758,Infinity,2.622,542.5994611781714,0.967,547.3052719934481,0.717,Infinity,2.752,520.2725863358597,2.683,537.615431054147,0.809,Infinity,2.973,Infinity,2.86,551.6059469748902,2.806,Infinity,2.669,543.5844923923546,1.302,Infinity,2.774,Infinity,2.841,Infinity,0.778,Infinity,2.708,554.4813664111622,2.868,539.4871027963139,2.669,509.67243265024365,2.345,Infinity,2.714,492.5247658944688,0.776,Infinity,2.721,Infinity,2.703,Infinity,2.83,Infinity,2.735,527.97368813114,0.681,528.976461069553,1.439,Infinity,2.74,517.0822941952797,2.676,Infinity,2.736,488.18283305707496,0.857,495.34735802424353,0.759,515.8200099925609,2.791,Infinity,2.728,532.7235985056757,2.59,569.0346735421314,0.656,Infinity,2.803,520.4164495080717,2.737,Infinity,2.692,522.8268026363071,2.943,Infinity,2.828,563.2989616383652,2.565,516.3503883160226,2.809,523.2707175037488,0.759,526.0579592510823,2.914,519.012262351288,2.816,Infinity,0.968,538.3377979634491,2.687,Infinity,2.662,Infinity,2.835,544.4094891549629,1.009,Infinity,2.88,560.0002985416515,2.243,552.3990125874291,1.571,564.4644738923862,0.648,Infinity,2.584,Infinity,2.821,527.0865175584661,0.782,523.112302158974,1.569,Infinity,2.795,Infinity,0.921,485.1786435878498,0.926,501.65926321748066,3.052,Infinity,2.763,Infinity,2.679,Infinity,2.85,540.5896157383311,2.706,Infinity,2.691,Infinity,2.758,520.2177778731032,0.889,552.0596443701463,2.674,507.7779339264653,1.19,534.2155819801743,2.734,Infinity,2.662,528.2215640686396,2.747,518.6539005961137,0.606,514.2962290072367,2.794,537.8779931780892,2.757,Infinity,2.688,Infinity,0.722,Infinity,1.284,542.1465323332326,1.812,Infinity,2.646,520.190103554307,2.765,527.6706681389041,0.663,Infinity,0.692,516.7196217092996,0.902,Infinity,2.805,Infinity,2.688,506.07766950217456,1.51,Infinity,2.652,Infinity,3.025,538.0248364534636,2.79,511.69967040593843,0.928,502.69978461518997,0.879,Infinity,2.665,520.5689324277689,2.942
558.7637454183662,2.771,Infinity,0.904,540.9760835016466,2.75,517.6549478582025,1.036,Infinity,2.67,544.812342088664,1.068,551.32745119432,0.896,Infinity,2.645,525.6989479717403,2.797,539.842034026229,0.887,Infinity,2.882,Infinity,2.714,Infinity,2.965,Infinity,2.741,546.1025314974751,1.044,504.2502719481178,0.874,Infinity,2.776,Infinity,2.673,Infinity,2.679,Infinity,2.735,541.8173229133591,2.835,514.739633986953,1.752,Infinity,2.681,494.2407658944684,0.706,Infinity,2.705,Infinity,2.683,Infinity,2.847,Infinity,2.831,531.1997593129815,1.043,531.5860326600657,0.876,559.2941855156288,2.736,519.8880495285216,2.737,Infinity,2.668,Infinity,2.784,499.27965543064005,0.779,520.2913494521531,2.65,Infinity,2.699,Infinity,1.711,572.5852685069146,2.103,Infinity,2.799,Infinity,2.711,Infinity,2.662,Infinity,2.747,532.920512205486,2.704,Infinity,2.758,Infinity,1.147,526.003923274901,2.085,Infinity,2.704,521.8945801116718,2.87,556.9408006784893,1.472,Infinity,2.602,Infinity,2.693,Infinity,2.694,546.372346852264,0.727,Infinity,0.976,Infinity,2.717,Infinity,2.687,569.0219558370322,0.833,Infinity,2.714,Infinity,2.657,530.0942417756146,0.858,Infinity,2.723,538.9860605891242,2.584,Infinity,0.754,487.5844737574974,0.893,504.9435860269543,2.628,Infinity,2.84,Infinity,2.642,Infinity,2.693,543.2758454500747,2.848,Infinity,2.815,Infinity,2.875,521.9687778731031,0.905,Infinity,2.797,511.90658859023006,0.938,536.1614665736605,2.774,Infinity,2.728,Infinity,2.67,520.5336830141916,0.622,Infinity,2.64,Infinity,2.658,Infinity,2.956,548.9961419536808,2.748,498.5633312434213,1.059,Infinity,2.734,Infinity,2.72,Infinity,2.849,532.5277643264002,2.814,Infinity,0.906,519.9376709765427,0.939,525.0777689933387,0.857,561.4095148304639,2.657,508.2489401706008,1.437,Infinity,2.775,Infinity,2.697,Infinity,2.684,513.6803197288917,0.992,507.233802387748,1.076,Infinity,2.714,Infinity,2.848
Infinity,2.711,513.9878383721107,0.944,544.5013941186911,2.961,520.006173400503,1.015,Infinity,2.663,Infinity,2.978,554.3489793352188,0.79,Infinity,2.729,Infinity,2.848,542.5716143257284,2.582,Infinity,2.779,Infinity,2.691,Infinity,2.833,Infinity,2.787,Infinity,2.807,506.2583347387917,0.922,Infinity,2.722,537.3573738667728,0.92,Infinity,2.892,Infinity,2.675,547.9815683562937,2.672,517.2707744156204,2.117,519.4894853507467,1.198,Infinity,2.73,Infinity,2.882,Infinity,2.793,Infinity,2.655,Infinity,2.706,533.9111955151355,2.686,533.9561530990379,1.39,562.2811136996064,2.706,522.6953493218331,2.861,Infinity,2.817,496.1045289289072,1.0,503.4852072134153,0.7,522.3689434437865,2.693,Infinity,2.693,Infinity,1.221,575.7201359386718,1.656,Infinity,2.707,Infinity,2.538,533.0401421488882,2.711,Infinity,3.024,534.9966299767391,2.863,Infinity,2.661,520.500372247151,2.0,Infinity,1.064,Infinity,2.745,Infinity,3.015,559.7088702479201,1.437,542.7147912658713,2.637,Infinity,2.677,Infinity,2.68,Infinity,2.809,Infinity,2.756,566.7308379951616,1.937,559.4649058469303,1.01,Infinity,2.637,513.6034045839014,0.881,Infinity,2.71,Infinity,2.76,529.4462279414684,1.328,541.5694682556297,2.796,Infinity,2.72,490.23801566772585,0.822,508.59247325320274,2.778,Infinity,2.725,Infinity,2.625,Infinity,2.676,546.2934370200691,2.973,Infinity,2.741,Infinity,2.682,525.3490136960805,0.865,Infinity,2.737,513.9817177231145,1.259,538.9964875472383,2.834,Infinity,2.937,Infinity,2.742,523.1680251758238,0.6,Infinity,2.579,542.8848380356296,0.732,Infinity,2.689,551.078354863208,0.898,Infinity,2.811,Infinity,2.883,Infinity,2.676,Infinity,2.82,534.6961488087303,1.022,Infinity,0.92,Infinity,1.064,Infinity,2.879,564.5083122316275,2.733,510.87335298214157,1.54,Infinity,3.02,Infinity,2.647,Infinity,2.787,516.4834295225934,0.785,Infinity,2.657,Infinity,2.82,527.4039409195774,2.628
Infinity,2.785,Infinity,2.713,547.5952972237237,2.689,Infinity,2.801,Infinity,2.667,Infinity,2.935,557.986548158841,1.333,Infinity,2.687,Infinity,2.721,545.3092110563446,2.969,Infinity,2.802,Infinity,2.652,Infinity,2.746,Infinity,2.778,Infinity,2.746,508.34449200936064,0.758,Infinity,2.869,540.4123353742453,1.16,Infinity,2.753,Infinity,2.761,Infinity,3.156,Infinity,2.994,522.9478378591591,0.913,Infinity,2.702,Infinity,2.777,Infinity,2.792,533.1402198347577,2.721,Infinity,2.666,536.2802353736586,2.856,Infinity,2.992,Infinity,2.778,525.1503425773434,2.667,Infinity,2.881,500.36366173507145,1.446,507.7240223242867,0.957,525.5284251136552,2.752,Infinity,2.714,Infinity,1.174,Infinity,2.684,Infinity,2.74,530.2104940466329,2.739,Infinity,2.681,Infinity,2.581,Infinity,2.763,Infinity,2.676,Infinity,2.969,533.3589520253064,1.583,Infinity,2.674,Infinity,2.84,Infinity,2.695,Infinity,2.699,Infinity,2.905,Infinity,2.741,552.7994908694477,1.752,Infinity,2.647,569.0343011181651,2.643,562.5973026196858,1.382,576.6409083551564,1.2,515.6074024391179,0.832,Infinity,2.813,534.7583630541294,1.049,532.5121179606705,0.82,Infinity,2.714,Infinity,2.789,492.1156557293379,0.895,512.0676839326018,2.763,Infinity,2.904,Infinity,2.677,Infinity,2.665,548.6316111506628,2.659,Infinity,2.702,Infinity,2.667,Infinity,2.734,558.4620194781699,2.636,Infinity,2.746,Infinity,2.835,Infinity,2.684,Infinity,2.843,Infinity,0.774,Infinity,2.954,546.9533174578013,0.858,Infinity,2.775,Infinity,2.884,Infinity,2.704,Infinity,2.727,Infinity,2.719,Infinity,2.806,536.8314708445578,2.343,Infinity,3.027,524.5277927393809,2.671,Infinity,2.754,566.5580939573932,2.768,513.8599416709447,1.824,Infinity,2.657,Infinity,2.811,Infinity,2.736,519.1220955701428,0.746,513.0263520273961,2.711,Infinity,2.689,Infinity,2.721
